nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
470 6480 315014 54842.7983094 308532 315012 415475744.768
480 6959 322536 56152.3513098 315577 322536 425396600.832
490 7257 329498 57364.4103352 322239 329496 434578866.176
500 7526 335424 58396.1055068 327898 335424 442394738.688
1 0 644 112.118071296 644 644 849379.328
10 0 6626 1153.56264038 6626 6626 8739110.912
20 6 13331 2320.8788951 13325 13331 17582415.872
30 32 20055 3491.50298112 20023 20055 26450780.16
40 36 26951 4692.07164518 26915 26951 35545997.312
50 82 33760 5877.49392384 33678 33760 44526469.12
60 104 40253 7007.90174515 40149 40253 53090164.736
70 186 47247 8225.53185485 47061 47247 62314635.264
80 190 53970 9395.98184448 53780 53970 71181680.64
90 206 60070 10457.9697869 59864 60070 79227043.84
100 276 67250 11707.981824 66974 67250 88696832.0
110 280 74013 12885.395669 73733 74013 97616633.856
120 460 80889 14082.4824054 80429 80889 106685472.768
130 523 87068 15158.2239621 86545 87068 114835030.016
140 639 93985 16362.4486502 93345 93984 123957944.32
150 675 100827 17553.6161096 100152 100827 132981940.224
160 804 107087 18643.4594734 106283 107087 141238329.344
170 772 113802 19812.516692 113029 113801 150094823.424
180 965 120987 21063.399211 120022 120987 159571206.144
190 1087 127524 22201.4672732 126437 127524 168192933.888
200 1378 134577 23429.3690696 133199 134577 177495220.224
210 1199 141183 24579.4497823 139983 141182 186207952.896
220 1444 148474 25848.786518 147030 148474 195824140.288
230 1479 153507 26725.0136187 152028 153507 202462224.384
240 1957 161706 28152.4298711 159748 161705 213275983.872
250 1846 166997 29073.5738388 165149 166995 220254347.264
260 1955 174532 30385.3900923 172577 174532 230192349.184
270 2320 181415 31583.6955034 179095 181415 239270420.48
280 2405 187681 32674.5834455 185276 187681 247534723.072
290 2414 194355 33836.5027123 191940 194354 256337141.76
300 2658 201092 35009.3900513 198434 201092 265222651.904
310 2579 208809 36352.8918467 206230 208809 275400695.808
320 2977 214567 37355.3388257 211590 214567 282994991.104
